merchant_id,merchant_name,merchant_category,volume_weight,refund_risk_multiplier,chargeback_risk_multiplier
M00001,Pinnacle Kart,E-commerce,0.12049,1.808,0.74
M00002,Umbra Commerce,E-commerce,0.060053,0.555,0.591
M00003,Quanta Kart,E-commerce,0.05401,0.991,1.367
M00004,Lyra Kart,E-commerce,0.03965,4.0,0.877
M00005,Dhruva Commerce,E-commerce,0.0333,2.152,1.123
M00006,Lumos Shoppe,E-commerce,0.021308,0.987,2.109
M00007,Trilok Shoppe,E-commerce,0.02221,0.897,1.897
M00008,Zephyr Retail,E-commerce,0.019562,0.498,0.499
M00009,Vespera Commerce,E-commerce,0.017861,0.832,0.533
M00010,Varuna Kart,E-commerce,0.013583,1.077,1.369
M00011,Amora Kart,E-commerce,0.016285,0.623,1.935
M00012,Ojas Kart,E-commerce,0.016257,1.772,0.492
M00013,Quill Trends,E-commerce,0.010833,0.684,0.701
M00014,Quarry Shoppe,E-commerce,0.013416,0.861,0.828
M00015,Ferro Outlet,E-commerce,0.009942,4.0,0.725
M00016,Umber Trends,E-commerce,0.008549,0.71,0.533
M00017,Juniper Shoppe,E-commerce,0.012836,0.412,0.375
M00018,Calyx Kart,E-commerce,0.010051,0.288,1.691
M00019,Orbix Kart,E-commerce,0.007831,0.394,2.715
M00020,Ivora Trends,E-commerce,0.00828,3.644,0.683
M00021,Dhruva Outlet,E-commerce,0.009874,1.615,0.894
M00022,Pinnacle Commerce,E-commerce,0.008497,1.294,1.179
M00023,Pinnacle Mart,E-commerce,0.009473,1.877,0.925
M00024,Chandrika Retail,E-commerce,0.006843,4.0,1.065
M00025,Bellara Retail,E-commerce,0.009288,0.537,0.887
M00026,Ember Shoppe,E-commerce,0.007262,0.58,1.457
M00027,Dovetail Outlet,E-commerce,0.008488,1.07,1.012
M00028,Ursa Kart,E-commerce,0.007054,1.238,1.274
M00029,Ivora Retail,E-commerce,0.008533,2.07,3.624
M00030,Lyra Outlet,E-commerce,0.005071,0.369,0.291
M00031,Ivora Shoppe,E-commerce,0.006262,0.515,1.186
M00032,Ursa Retail,E-commerce,0.005602,1.125,1.663
M00033,Rivet Trends,E-commerce,0.005728,0.781,0.535
M00034,Jyotsna Mart,E-commerce,0.006926,1.045,2.24
M00035,Verdant Trends,E-commerce,0.004458,1.106,1.042
M00036,Jalsa Bazaar,E-commerce,0.004513,0.812,0.665
M00037,Ursa Mart,E-commerce,0.006459,0.589,1.508
M00038,Vespera Retail,E-commerce,0.006347,1.466,1.462
M00039,Nectar Kart,E-commerce,0.004531,1.659,1.264
M00040,Yamuna Shoppe,E-commerce,0.004317,1.171,0.538
M00041,Suvarna Outlet,E-commerce,0.005213,0.611,1.06
M00042,Helix Mart,E-commerce,0.00404,0.612,0.629
M00043,Kelvin Bazaar,E-commerce,0.004408,0.405,0.368
M00044,Ravanti Bazaar,E-commerce,0.004738,0.415,0.764
M00045,Kelvin Shoppe,E-commerce,0.004916,1.105,0.431
M00046,Lumos Bazaar,E-commerce,0.005321,1.56,1.25
M00047,Quill Commerce,E-commerce,0.004669,2.185,0.73
M00048,Tidewater Commerce,E-commerce,0.004264,1.839,1.796
M00049,Xantha Retail,E-commerce,0.004052,2.136,0.612
M00050,Arvix Trends,E-commerce,0.004797,0.933,0.917
M00051,Madhuban Retail,E-commerce,0.003815,0.59,1.029
M00052,Tamira Mart,E-commerce,0.003865,0.403,2.623
M00053,Granite Trends,E-commerce,0.004096,2.874,4.0
M00054,Bhumi Outlet,E-commerce,0.003652,0.926,1.568
M00055,Elmwood Outlet,E-commerce,0.003331,0.485,0.442
M00056,Sarova Outlet,E-commerce,0.00426,0.445,1.398
M00057,Fenix Mart,E-commerce,0.003419,0.625,0.63
M00058,Zorvin Commerce,E-commerce,0.003922,1.264,0.905
M00059,Opaline Retail,E-commerce,0.003328,1.566,2.831
M00060,Nimbus Mart,E-commerce,0.004212,1.409,1.388
M00061,Ravanti Shoppe,E-commerce,0.003449,0.635,2.639
M00062,Dhruva Bazaar,E-commerce,0.003689,1.888,1.084
M00063,Galexa Bazaar,E-commerce,0.003476,1.484,1.824
M00064,Rosewood Shoppe,E-commerce,0.003172,1.171,0.726
M00065,Xantha Bazaar,E-commerce,0.002965,2.311,0.371
M00066,Fathom Mart,E-commerce,0.003601,0.76,0.835
M00067,Nimbus Commerce,E-commerce,0.003681,0.695,4.0
M00068,Zephyr Mart,E-commerce,0.003019,2.352,1.136
M00069,Trilok Trends,E-commerce,0.002852,0.625,0.898
M00070,Ember Mart,E-commerce,0.002645,0.358,0.25
M00071,Perga Kart,E-commerce,0.003535,1.326,1.804
M00072,Dovetail Shoppe,E-commerce,0.003858,0.987,1.395
M00073,Galexa Outlet,E-commerce,0.002672,1.258,0.804
M00074,Nectar Bazaar,E-commerce,0.002819,0.928,0.939
M00075,Solstice Outlet,E-commerce,0.003226,1.262,0.696
M00076,Ilvara Commerce,E-commerce,0.003649,0.824,0.343
M00077,Ilvara Shoppe,E-commerce,0.003234,1.621,0.503
M00078,Harbour Retail,E-commerce,0.002255,1.391,0.872
M00079,Yamuna Trends,E-commerce,0.003325,1.222,1.015
M00080,Lyra Commerce,E-commerce,0.002393,0.423,0.481
M00081,Northwind Commerce,E-commerce,0.002394,1.37,1.118
M00082,Varuna Outlet,E-commerce,0.002934,0.797,0.838
M00083,Jalsa Kart,E-commerce,0.003127,3.153,2.19
M00084,Pinnacle Trends,E-commerce,0.002609,0.743,0.645
M00085,Nakshatra Retail,E-commerce,0.003242,2.272,1.338
M00086,Kestrel Retail,E-commerce,0.002703,1.151,1.267
M00087,Quanta Commerce,E-commerce,0.002186,1.39,1.155
M00088,Perga Commerce,E-commerce,0.002494,0.859,1.235
M00089,Larkspur Trends,E-commerce,0.002685,1.972,1.721
M00090,Ferro Commerce,E-commerce,0.003261,2.275,2.039
M00091,Prisma Kart,E-commerce,0.00306,1.038,1.491
M00092,Bhumi Kart,E-commerce,0.002643,0.459,0.366
M00093,Nectar Mart,E-commerce,0.00196,0.332,3.386
M00094,Umber Kart,E-commerce,0.002523,0.96,0.25
M00095,Rosewood Outlet,E-commerce,0.002563,0.67,2.183
M00096,Kelvin Commerce,E-commerce,0.002567,0.954,1.386
M00097,Trilok Commerce,E-commerce,0.00276,1.8,0.742
M00098,Ember Outlet,E-commerce,0.002737,1.643,0.801
M00099,Jalsa Outlet,E-commerce,0.002995,0.565,0.442
M00100,Ironwood Outlet,E-commerce,0.002231,1.265,0.685
M00101,Rosewood Kart,E-commerce,0.002103,0.899,3.9
M00102,Jalsa Shoppe,E-commerce,0.002689,4.0,0.712
M00103,Dovetail Trends,E-commerce,0.002614,1.802,0.666
M00104,Kalindi Retail,E-commerce,0.002598,0.528,1.455
M00105,Tidewater Trends,E-commerce,0.002594,2.542,1.809
M00106,Jalsa Mart,E-commerce,0.002234,0.34,0.476
M00107,Quill Kart,E-commerce,0.001765,1.249,0.504
M00108,Citrin Commerce,E-commerce,0.002472,0.885,1.664
M00109,Varuna Shoppe,E-commerce,0.002266,1.478,0.788
M00110,Lyra Trends,E-commerce,0.002655,1.09,0.367
M00111,Ojas Mart,E-commerce,0.002419,0.475,3.288
M00112,Meghna Shoppe,E-commerce,0.00164,3.157,1.001
M00113,Onyx Outlet,E-commerce,0.002331,0.572,0.623
M00114,Vanta Bazaar,E-commerce,0.001685,0.831,1.163
M00115,Tidewater Retail,E-commerce,0.002116,0.885,1.38
M00116,Fenix Outlet,E-commerce,0.001584,0.804,0.804
M00117,Umber Retail,E-commerce,0.002196,0.84,1.18
M00118,Jyotsna Kart,E-commerce,0.002073,2.352,1.001
M00119,Tamira Outlet,E-commerce,0.001854,0.741,1.13
M00120,Elara Trends,E-commerce,0.002127,0.377,1.159
M00121,Quill Bazaar,E-commerce,0.002461,2.036,1.491
M00122,Dhruva Trends,E-commerce,0.001569,1.29,0.903
M00123,Tamira Shoppe,E-commerce,0.001939,3.116,0.926
M00124,Vanta Retail,E-commerce,0.002245,2.265,0.816
M00125,Trilok Kart,E-commerce,0.001696,1.17,0.864
M00126,Kestrel Trends,E-commerce,0.001507,0.727,1.072
M00127,Onyx Mart,E-commerce,0.002177,0.698,0.25
M00128,Suvarna Shoppe,E-commerce,0.001735,1.854,1.268
M00129,Fathom Shoppe,E-commerce,0.00232,1.16,0.837
M00130,Juniper Trends,E-commerce,0.002348,0.994,1.349
M00131,Yamuna Outlet,E-commerce,0.00143,2.725,2.893
M00132,Juniper Kart,E-commerce,0.001975,0.914,1.011
M00133,Xantha Shoppe,E-commerce,0.001725,1.177,0.343
M00134,Arvix Retail,E-commerce,0.002014,0.537,1.524
M00135,Ravanti Commerce,E-commerce,0.002192,0.643,0.852
M00136,Ursa Outlet,E-commerce,0.001777,0.368,1.689
M00137,Lyra Bazaar,E-commerce,0.001531,0.478,0.568
M00138,Harbour Commerce,E-commerce,0.001733,1.453,0.645
M00139,Juniper Commerce,E-commerce,0.002021,0.913,2.504
M00140,Nimbus Trends,E-commerce,0.002223,0.617,0.42
M00141,Pallava Commerce,E-commerce,0.002169,1.509,1.603
M00142,Vespera Trends,E-commerce,0.002054,0.849,0.453
M00143,Bhumi Retail,E-commerce,0.002052,1.872,0.863
M00144,Solstice Retail,E-commerce,0.001419,2.389,0.952
M00145,Umber Outlet,E-commerce,0.001788,0.451,0.706
M00146,Opaline Kart,E-commerce,0.001626,1.248,0.384
M00147,Fathom Trends,E-commerce,0.001565,1.778,1.209
M00148,Yamuna Kart,E-commerce,0.002091,0.502,0.648
M00149,Opaline Mart,E-commerce,0.001735,0.562,1.645
